ResponseName,RecommendationCount,IsFree,ScreenshotCount,PlatformWindows,PlatformMac,PlatformLinux,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer
Garrys Mod,237684,False,15,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False
Poker Superstars II,0,False,5,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
RACE - The WTCC Game,126,False,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
RACE: Caterham Expansion,0,False,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
RoboBlitz,0,False,5,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Silverfall,0,False,14,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
City Life 2008,0,False,12,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Silverfall: Earth Awakening,0,False,11,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
S.T.A.L.K.E.R.: Shadow of Chernobyl,4657,False,17,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
Full Spectrum Warrior,104,False,9,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Full Spectrum Warrior: Ten Hammers,0,False,7,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Titan Quest,2218,False,16,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
Titan Quest - Immortal Throne,2216,False,9,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
Company of Heroes,3856,False,7,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition,2212,False,13,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Warhammer(r) 40000: Dawn of War(r) - Dark Crusade,1715,False,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Medieval II: Total War(tm),5418,False,10,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Condemned: Criminal Origins,891,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rome: Total War(tm) - Collection,5160,False,16,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rome: Total War(tm) - Alexander,266,False,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Medieval II: Total War(tm) Kingdoms,549,False,14,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Heroes of Annihilated Empires,153,False,16,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cossacks: Back to War,726,False,13,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cossacks: Art of War,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cossacks: European Wars,135,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cossacks II: Battle for Europe,223,False,22,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Zen of Sudoku,0,False,12,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Natural Selection 2,7873,False,17,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False
STAR WARS(tm) Republic Commando(tm),3763,False,14,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Indiana Jones(r) and the Fate of Atlantis(tm),373,False,20,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
STAR WARS(tm) Jedi Knight - Jedi Academy(tm),3535,False,12,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),1433,False,14,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Dig(r),370,False,14,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
STAR WARS(tm) Battlefront(tm) II,16580,False,13,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Thrillville(r): Off the Rails(tm),151,False,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Armed and Dangerous(r),0,False,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Shank,1232,False,10,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Ghost Master(r),846,False,11,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Vegas: Make It Big(tm),0,False,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FlatOut,1241,False,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Making History: The Calm & the Storm,453,False,6,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Ducati World Championship,161,False,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dreamfall: The Longest Journey,397,False,19,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
The Longest Journey,737,False,30,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
Bloodline Champions,1381,True,13,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Joint Task Force,0,False,18,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Nexus - The Jupiter Incident,333,False,10,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
Lost Planet(tm): Extreme Condition,499,False,10,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Devil May Cry(r) 3 Special Edition,1401,False,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bullet Candy,0,False,18,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Commandos: Behind Enemy Lines,854,False,15,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Commandos: Beyond the Call of Duty,244,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Commandos 2: Men of Courage,877,False,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Commandos 3: Destination Berlin,415,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Hitman 2: Silent Assassin,1144,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Hitman: Blood Money,3895,False,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Battlestations: Midway,214,False,29,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Just Cause,1565,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Hitman: Codename 47,1049,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Deus Ex: Game of the Year Edition,3706,False,11,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Deus Ex: Invisible War,679,False,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Thief: Deadly Shadows,860,False,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Tomb Raider: Legend,921,False,12,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Project: Snowblind,110,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rogue Trooper,157,False,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Jade Empire(tm): Special Edition,721,False,15,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Trackmania United Forever Star Edition,633,False,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Runaway A Road Adventure,212,False,10,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Runaway The Dream of The Turtle,0,False,13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Loki,0,False,26,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Azada,0,False,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
X-Blades,1846,False,10,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
Two Worlds II,3331,False,10,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Two Worlds II Castle Defense,221,False,8,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sid Meiers Railroads!,1097,False,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Railroad Tycoon 3,273,False,14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Railroad Tycoon II Platinum,296,False,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
X-COM: Terror From the Deep,272,False,7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
X-COM: Apocalypse,296,False,11,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BioShock(tm),16260,False,9,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
X-COM: Interceptor,0,False,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
X-COM: UFO Defense,1289,False,11,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
X-COM: Enforcer,201,False,7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Men of War(tm),1203,False,8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Death Track(r): Resurrection,0,False,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
NecroVision,506,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Call of Duty(r) 4: Modern Warfare(r),5983,False,14,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Cabelas(r) Big Game Hunter(tm) Trophy Bucks,0,False,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tomb Raider: Anniversary,1111,False,6,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Kane and Lynch: Dead Men(tm),1136,False,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Conflict: Denied Ops,0,False,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Tomb Raider: Underworld,1079,False,16,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Battlestations Pacific,897,False,16,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
Just Cause 2,27899,False,10,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 101: Culture Shock,176,False,24,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 102: Situation: Comedy,0,False,12,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Sam & Max 103: The Mole the Mob and the Meatball,0,False,6,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
